,title,body,date,link
0,I’m fed up with how Nike wastes talent,"First, they laid off many great people this year. Second, managers do not recognize talent, skills and competence of the individual team members. As a result, a lot of potential remains unrealized while people are being frustrated with the tasks they...								— read more",2024-11-07T01:16:07Z,https://www.thelayoff.com/t/1vnW9V4P
1,WFH Today,"Yall get the memo, like HR, to WFH today to “process” the election?! WTF",2024-11-06T15:24:10Z,https://www.thelayoff.com/t/1vmQ1D2F
2,Nepotism is out of control,"It’s all about who you know, not what you bring to the table. Performance, skills, experience, none of it matters. They’ll always find an excuse to hold back those who’ve earned it, but if you’re in the right circle, “someone’s friend”, that’s all it...								— read more",2024-11-06T07:21:01Z,https://www.thelayoff.com/t/1vm3GlJl
3,What are the long-term career effects for Nike employees who have been laid off?,I am interested in opinions of people who have been with Nike for a while and have experience that spans multiple recessions - what do you think?,2024-11-06T06:41:34Z,https://www.thelayoff.com/t/1vmbH71e
4,Is another round of reorg/layoffs on the way??,Have heard about the rumor from different sources in past couple weeks. Now I’m not even sure if I’m hoping for this to happen or not.,2024-11-05T00:45:01Z,https://www.thelayoff.com/t/1vlTmryE
5,Thanks RTO,"Never had Covid, flu or cold outbreaks during work from home. People are dropping like flies as they sit in the Petri dish open work spaces. Tell me again how rto increases productivity?",2024-11-05T00:06:37Z,https://www.thelayoff.com/t/1vlW9lrU
6,Not a dream workplace,"It's absurd how management keeps trying to make Nike look like some dream workplace, while it continues to disregard the many issues employees are facing on a daily basis. Do they seriously think ignoring reality is a long-term fix? It just feels...								— read more",2024-11-04T06:21:13Z,https://www.thelayoff.com/t/1vknY4F9
7,Laid off a year ago and still can’t find a decent job,"Nike laid me off a year ago. I still don’t have a job. Before you make suggestions or assumptions, let me explain that I’ve had a relatively positive attitude through this time, so sure something will happen for me. That the next thing is just...								— read more",2024-11-04T05:39:12Z,https://www.thelayoff.com/t/1vkAr6kq
8,Promotions?,When do you guys think promotions will start being a thing?,2024-11-02T08:28:37Z,https://www.thelayoff.com/t/1viQBgKP
9,What’s the hardest aspect of your job?,"For me, it's having to deal with a micromanaging boss who knows less than I do but feels the need to direct my every move. It's infuriating, pointless, and only slows me down every single day.",2024-11-01T17:01:41Z,https://www.thelayoff.com/t/1vhv5dZj
10,"EH, Can we PLEASE have our own desks to work at??",The fountains are on.Can you also invest in setting GPS straight and planning so we can each have our own desk again like the before days? We're dyin' here in JR.,2024-11-01T16:32:02Z,https://www.thelayoff.com/t/1vhnV8Wu
11,RTO policy change soon?,When do you think EH will change the RTO policy to be more flexible so those of us who want to work remote can?,2024-11-01T16:05:28Z,https://www.thelayoff.com/t/1vhQdVG7
12,Are we ever going to change for the better?,A lot of us were hopeful with the change at the top. We have all been fed up for a long time with the way Nike’s been declining. I guess the built up frustration was the reason we put a lot of hope into just a glimpse at willingness to turn the ship...								— read more,2024-11-01T00:20:19Z,https://www.thelayoff.com/t/1vhK0yPS
13,All my friends have left,"IC here, used to manage people. Between layoffs and new opportunities majority of my friends I started with are gone.Before you flame me and tell me to leave, I’m trying. Just bummed all my friends are gone from the good days.",2024-10-31T14:24:04Z,https://www.thelayoff.com/t/1vgES5sr
14,MD calls Nike an “Uneducated Cult”,"Yesterday’s GT all-hands meeting was something else. Seeing MD next to EH and AM was night and day. MD looked like she was reading straight from a script, handing out high-fives with all the enthusiasm of a wax figure. Meanwhile, EH and AM were...								— read more",2024-10-31T00:40:40Z,https://www.thelayoff.com/t/1vgxeHXr
15,Dear moderators,Dear Moderators - this platform has become like X. Full of lies and personal attacks. Truths or rumors are fine but there is way 2 much cr-p being posted and not removed. Do your job!,2024-10-30T17:48:11Z,https://www.thelayoff.com/t/1vf3x9na
16,Any rumors about reorg?,"I’m at my wits’ end. My team has been in chaos since the layoffs. We have a skeleton crew, miss a couple of critical jobs, and have been working a triple workload. No way we can continue being productive and efficient. We will just one day completely...								— read more",2024-10-29T22:25:59Z,https://www.thelayoff.com/t/1veIGBPR
17,What’s SAP RISE?!?,,2024-10-29T16:27:15Z,https://www.thelayoff.com/t/1verp9wB
18,CATEGORIES ARE BACK,CATEGORY ANNOUNCEMENT COMING. Now we can stop saying CxFOP. Not sure what all those CxFOP GMs will do (THAT HAVE NO DIRECT REPORTS AND RUN MULTIPLE IBAs just to run meetings) but not sure what they’ve done for about a year either.,2024-10-29T14:05:57Z,https://www.thelayoff.com/t/1veqRKpp
19,JR Slum City,"What happened to a focus on rebuilding culture? Not allowing g adults to have a dedicated workspace, giving them lockers like some schoolage hustle, having them fight for a place to work between every meeting...  WHEN THEY ARE REQUIRED TO COME IN is...								— read more",2024-10-29T12:39:00Z,https://www.thelayoff.com/t/1vesC0rf
20,Stressed out and looking for a way out,"Throughout my two-decades-long career, I’ve never felt more stressed than I do now. The workload and pressure are at an all-time high for me, and I know I’m not alone in this. I’m completely burnt out, to the point that I’ve already started looking...								— read more",2024-10-29T04:33:04Z,https://www.thelayoff.com/t/1vee8QGF
21,Employee survey results,How long can you hide it?!,2024-10-28T20:44:57Z,https://www.thelayoff.com/t/1vdoLX6H
22,Party it up ATC,"Nice to see ATC enjoying perks and culture, while those of us here at WHQ can't even have a vendor pay for lunch.Having a party to celebrate one year of wasting Nike's money while ATC making it rain.",2024-10-28T14:44:13Z,https://www.thelayoff.com/t/1vdHYtw3
23,Noncompete and unemployment,Can you file for unemployment while nike is enforcing your noncompete (and therefore paying you),2024-10-28T04:45:45Z,https://www.thelayoff.com/t/1vdZk54g
24,What happened to innovation?,That's what made us stand out in an overcrowded industry. When those leading this company decided to pull back on innovation and started mostly copy/pasting old stuff with some minor tweaks is when Nike lost both its position as a leader and its...								— read more,2024-10-28T03:50:08Z,https://www.thelayoff.com/t/1vdTYfWC
25,Remember all the mockery?,"“They are not even at 1 billion dollars in sales”“When they reach one billion they won t be able to scale ““It s just an ugly shoe”Well, congrats. Remember when JD said we are only focused on the...								— read more",2024-10-26T23:09:53Z,https://www.thelayoff.com/t/1vbEECNb
26,SM out at Jordan,She's been removed from her role as the helm of Jordan as they integrate Jordan into the Nike brand and it will become a business unit/category.Her new role will be TPs former position as VP global marketplace partners.,2024-10-26T16:42:07Z,https://www.thelayoff.com/t/1vbaUPtB
27,Triggered?,There will be a geo restructure as of November 15th where APLA will cease to exist and CS will be elevated as the president of DTC.MBL will lead the new LATAM geo based in WHQ with the satellite office in Cdmx.,2024-10-26T14:32:58Z,https://www.thelayoff.com/t/1vbJuWpy
28,Why no Youth Special Olympics this year,"This has always been one of Nike's most special days of the year. When they invite hundreds of youth onsite and host sport all day. The community of Nike is dying, and not slowly.",2024-10-25T23:58:01Z,https://www.thelayoff.com/t/1vaqlqpV
29,"Sooo, can we just re org again please",It’s clear the jabronis of Bain messed up and we are all still feeling opt models that don’t work and substandard managers that somehow survived the layoffs.My SD and upper VPs have provided little to no communication recently and it feels like a...								— read more,2024-10-25T22:27:56Z,https://www.thelayoff.com/t/1va53pUB
30,MM needs to be held accountable,"Our culture is broken, the sole person responsible for creating the mess we are in is MM and her LT. We are worshipping EH like the second coming of jesus but he is just a single guy. You cant pump clean to a swamp and expect it to eventually clean...								— read more",2024-10-25T17:38:30Z,https://www.thelayoff.com/t/1va1rgV5
31,"""Activity Based Work"" spaces = FAIL","Not sure why facilities is doubling down on this activity based work space bs. Do you know anyone who likes it??It doesn't work for us. Those on campus need a desk, a home base. Not a junior high locker. Sooooo much time is wasted trying to find...								— read more",2024-10-25T16:39:05Z,https://www.thelayoff.com/t/1va2raDb
32,Who wants to buy JD’s Pearl District penthouse?,$2M off the purchase price back in 2019!https://www.oregonlive.com/business/2024/10/former-nike-ceo-john-donahoe-readies-pearl-district-penthouse-for-sale.html?outputType=amp,2024-10-23T19:44:23Z,https://www.thelayoff.com/t/1v8J6tw5
33,Wait…,Don’t cut too many tech directors and above leaders or there won’t be enough people in the Holiday War Room photos that get published. The only time they show up and act like they know what’s going on or care while the doers try to resolve issues...								— read more,2024-10-23T05:11:30Z,https://www.thelayoff.com/t/1v8sjIYh
34,Six Geos,Wow so the whole geo restructure was true.... we now have six geosNA - WHQEMEA - AMS basedAPAC (exc. China) - this will continiue to be based in Beaverton LaTam - Mexico City basedGC - Shanghai based,2024-10-21T16:31:07Z,https://www.thelayoff.com/t/1v6MrqWC
35,Allow everyone to be remote or nobody. Make it equitable.,"This haves and have nots B S is all played out. Productivity and collaboration is hindered by this random system. Better yet, let teams decide for themselves.",2024-10-20T21:13:32Z,https://www.thelayoff.com/t/1v56vzNJ
36,Single change with a big impact on culture and morale,"I’m kinda surprised that no one has recently called out the one person that would have the biggest positive impact on culture and morale if they were gone. After all, allowing VPs to do whatever, hiring VPs that were tops at bad behavior (and could...								— read more",2024-10-19T21:31:35Z,https://www.thelayoff.com/t/1v4QwZs6
37,Hoping Elliot Audits Leadership Remote Exceptions to Provide Equity,"Let's be honest... it's complete bullsh*t that senior leaders get a hall pass to work remote out of state and get to travel in 2-3 times per month to WHQ on Nike's dime. We're talking first class flights (if VP), meals, rental cars and hotels on a...								— read more",2024-10-19T00:59:36Z,https://www.thelayoff.com/t/1v4G4Uh5
38,Has your team ever adjusted after layoffs?,"Mine is still a hot mess. We have never had good mgmt to begin with, and they’ve been more of an obstacle than assistance since layoffs. They have their numbers to meet, and have never cared to get to know us by skills and competence, and therefore...								— read more",2024-10-15T00:11:42Z,https://www.thelayoff.com/t/1v0GEHFT
39,Close ATC,"What value does ATC add to the business?  ATC was an idea grandfathered from a previous CTO. ATC offers a lot of amenities like Privates chefs, and Hawks Box seats but no one is ever in the office. The California office has already been disbanded?...								— read more",2024-10-14T21:32:20Z,https://www.thelayoff.com/t/1uZ099nq
